date,open,high,low,close,volume
2025-08-04,650.05,656.8,646.0,653.6,8033881.0
2025-08-05,655.95,658.9,650.55,654.6,6714804.0
2025-08-06,655.0,658.0,650.4,652.85,6410830.0
2025-08-07,650.0,651.7,635.5,646.5,13609913.0
2025-08-08,647.95,652.95,630.0,633.7,10144452.0
2025-08-11,636.2,655.0,627.1,653.75,17275390.0
2025-08-12,651.1,660.95,650.8,654.1,11212223.0
2025-08-13,657.2,667.0,656.65,663.75,7557556.0
2025-08-14,666.0,666.55,657.7,664.6,6250494.0
2025-08-18,677.0,685.0,672.9,676.0,14226172.0
2025-08-19,676.75,703.35,673.1,700.25,19440384.0
2025-08-20,700.25,700.8,689.0,689.6,10050137.0
2025-08-21,694.0,694.95,685.0,685.4,8432614.0
2025-08-22,685.9,691.5,678.6,680.3,6429718.0
2025-08-25,683.75,688.9,680.3,686.8,6429311.0
2025-08-26,686.8,686.95,678.3,681.65,7496633.0
2025-08-28,679.9,680.9,667.8,675.45,9466045.0
2025-08-29,675.45,681.15,668.0,669.0,8201917.0
2025-09-01,671.3,691.5,670.55,690.15,7644947.0
2025-09-02,690.15,694.65,681.65,684.4,7854694.0
2025-09-03,688.0,693.45,685.0,692.05,6094892.0
2025-09-04,705.9,706.35,685.7,687.5,13439418.0
2025-09-05,690.9,697.35,683.1,691.7,6692975.0
2025-09-08,695.0,722.0,694.05,719.5,20531027.0
2025-09-09,721.15,722.25,713.5,715.55,9409853.0
2025-09-10,717.65,720.0,702.7,709.1,10363493.0
2025-09-11,710.2,712.0,704.55,705.85,5530633.0
2025-09-12,708.0,718.9,707.35,715.25,8252416.0
2025-09-15,715.3,721.95,711.55,712.9,6007524.0
2025-09-16,715.0,719.7,705.0,713.25,9765743.0
2025-09-17,715.0,722.95,714.3,719.15,11872451.0
2025-09-18,722.0,725.25,707.6,711.2,12199357.0
2025-09-19,713.5,713.5,704.95,707.45,12127319.0
2025-09-22,709.0,712.0,694.85,696.25,9688597.0
2025-09-23,701.8,707.8,697.0,701.35,11904667.0
2025-09-24,700.5,703.3,681.3,682.95,13252215.0
2025-09-25,669.9,675.0,655.3,664.3,24687611.0
2025-09-26,666.0,680.35,662.35,672.9,15780434.0
2025-09-29,684.0,685.0,670.0,672.5,13014474.0
2025-09-30,672.0,683.5,666.65,680.2,15001606.0
2025-10-01,681.0,720.0,679.2,718.35,30163206.0
2025-10-03,718.5,739.7,715.0,716.1,27786917.0
2025-10-06,718.0,718.5,703.95,712.65,10333314.0
2025-10-07,712.65,712.9,697.15,698.05,13099357.0
2025-10-08,694.9,702.0,679.0,681.55,16568975.0
2025-10-09,684.6,685.0,668.8,681.1,16202851.0
2025-10-10,684.8,688.6,666.9,678.95,16069904.0
2025-10-13,679.0,679.4,658.1,660.75,33288645.0
2025-10-14,400.0,421.55,376.3,395.45,52267874.0
2025-10-15,403.0,403.0,388.0,390.85,26953559.0
2025-10-16,395.45,400.45,389.55,396.8,21983752.0
2025-10-17,396.8,402.5,392.25,396.6,16564547.0
2025-10-20,400.05,403.4,396.6,399.75,10471672.0
2025-10-21,402.8,403.4,400.05,401.85,3449156.0
2025-10-23,407.5,408.9,403.6,405.85,14126009.0
