date,open,high,low,close,volume
2025-08-04,3009.1,3079.4,2991.6,3074.4,2519252.0
2025-08-05,3074.4,3077.5,3042.0,3063.9,1927996.0
2025-08-06,3063.0,3066.8,3026.0,3032.3,1487081.0
2025-08-07,3016.0,3051.6,3010.9,3047.0,2543076.0
2025-08-08,3048.1,3059.8,3025.0,3036.4,2762140.0
2025-08-11,3036.4,3049.9,3021.3,3040.8,1884215.0
2025-08-12,3041.0,3096.4,3026.9,3035.4,3358232.0
2025-08-13,3036.1,3044.4,3028.6,3036.2,2148166.0
2025-08-14,3034.0,3055.9,3019.1,3022.3,3342174.0
2025-08-18,3046.5,3049.0,3003.4,3011.2,2945609.0
2025-08-19,3011.2,3025.0,3011.1,3016.2,2650784.0
2025-08-20,3010.9,3103.4,3010.9,3098.6,4952358.0
2025-08-21,3130.0,3130.0,3083.1,3102.6,3230726.0
2025-08-22,3086.0,3095.7,3050.0,3054.0,1593791.0
2025-08-25,3087.3,3152.0,3077.1,3140.6,3448370.0
2025-08-26,3129.0,3162.0,3120.0,3157.2,5522097.0
2025-08-28,3145.0,3146.5,3086.5,3093.7,3116051.0
2025-08-29,3093.0,3115.0,3077.2,3084.7,2271789.0
2025-09-01,3090.0,3131.1,3090.0,3112.6,1246862.0
2025-09-02,3121.1,3155.0,3103.1,3111.5,2185229.0
2025-09-03,3129.9,3141.9,3088.0,3097.5,1799774.0
2025-09-04,3116.0,3118.0,3090.8,3095.7,1481391.0
2025-09-05,3097.1,3103.4,3028.6,3048.3,2802055.0
2025-09-08,3050.0,3064.9,3016.0,3019.0,2626187.0
2025-09-09,3032.1,3060.0,3030.8,3049.4,2489301.0
2025-09-10,3056.4,3122.7,3053.4,3110.0,2079428.0
2025-09-11,3139.0,3139.0,3110.1,3124.2,2263446.0
2025-09-12,3144.0,3148.7,3121.0,3133.4,1447167.0
2025-09-15,3134.0,3134.0,3096.0,3111.9,1732539.0
2025-09-16,3128.0,3150.0,3109.1,3145.7,2573429.0
2025-09-17,3152.0,3182.4,3142.4,3172.8,2418271.0
2025-09-18,3185.0,3203.0,3161.4,3176.7,2633138.0
2025-09-19,3170.0,3180.5,3144.0,3169.2,4901694.0
2025-09-22,3095.0,3106.9,3065.0,3073.8,3634901.0
2025-09-23,3070.0,3080.7,3052.0,3062.4,3177741.0
2025-09-24,3050.0,3057.0,3033.0,3035.4,1625714.0
2025-09-25,3022.0,3029.6,2951.0,2957.4,4974361.0
2025-09-26,2941.0,2954.8,2891.3,2899.1,3934636.0
2025-09-29,2916.0,2929.3,2894.0,2896.1,3110035.0
2025-09-30,2911.0,2915.3,2885.1,2888.4,2253458.0
2025-10-01,2891.0,2924.8,2866.6,2914.2,1952902.0
2025-10-03,2924.0,2924.0,2891.1,2901.9,2899519.0
2025-10-06,2902.0,2993.6,2895.6,2988.4,2112774.0
2025-10-07,2995.0,3004.5,2955.5,2973.7,3062943.0
2025-10-08,2975.0,3043.0,2968.0,3027.2,4121889.0
2025-10-09,3034.0,3066.0,3020.0,3061.7,3211304.0
2025-10-10,3050.0,3070.0,3006.9,3028.3,8817365.0
2025-10-13,3027.0,3035.5,2998.2,3007.2,2866865.0
2025-10-14,3021.0,3027.2,2955.5,2960.3,3611416.0
2025-10-15,2971.0,2979.7,2951.0,2969.8,4282226.0
